"333758029","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3;}","1469062910","web","115.112.196.146",NULL
"333758031","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3.5;}","1469062910","web","115.112.196.146",NULL
"333758053","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:4;}","1469062915","web","115.112.196.146",NULL
"333758055","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3.625;}","1469062915","web","115.112.196.146",NULL
"333758207","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:5;}","1469062959","web","115.112.196.146",NULL
"333758209","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3.75;}","1469062959","web","115.112.196.146",NULL
"333758241","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:6;}","1469062967","web","115.112.196.146",NULL
"333758243","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3.875;}","1469062967","web","115.112.196.146",NULL
"333758297","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:7;}","1469062983","web","115.112.196.146",NULL
"333758299","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:4;}","1469062983","web","115.112.196.146",NULL
"333758359","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:8;}","1469063000","web","115.112.196.146",NULL
"333758361","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:4.125;}","1469063000","web","115.112.196.146",NULL
"333763257","\core\event\user_graded","core","graded","user","grade_grades","11567461","u","1","1976664","50","23121","110923","23121","110923","0","a:3:{s:6:""itemid"";s:6:""137035"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:75;}","1469064294","web","92.6.37.231",NULL
"333763259","\core\event\user_graded","core","graded","user","grade_grades","11567463","u","1","1976664","50","23121","110923","23121","110923","0","a:3:{s:6:""itemid"";s:6:""117258"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:75;}","1469064294","web","92.6.37.231",NULL
"333838367","\core\event\user_graded","core","graded","user","grade_grades","14579617","u","1","2007651","50","23496","222462","23496","222462","0","a:3:{s:6:""itemid"";s:6:""229039"";s:10:""overridden"";b:0;s:10:""finalgrade"";s:7:""0.00000"";}","1469083673","web","94.10.248.130",NULL
